"goterm" "ontology"
"1253" "GO:0001583" "P"
"1254" "GO:0001586" "F"
"1255" "GO:0001587" "F"
"1256" "GO:0001588" "F"
"1257" "GO:0001591" "F"
"1258" "GO:0001594" "F"
"1259" "GO:0001595" "F"
"1260" "GO:0001596" "F"
"1261" "GO:0001601" "F"
"1262" "GO:0001602" "F"
"1263" "GO:0001604" "F"
"1264" "GO:0001605" "F"
"1265" "GO:0001607" "F"
"1266" "GO:0001608" "F"
"1267" "GO:0001609" "F"
"1269" "GO:0001614" "F"
"1271" "GO:0001616" "F"
"1272" "GO:0001618" "F"
"1273" "GO:0001621" "F"
"1274" "GO:0001626" "F"
"1275" "GO:0001631" "F"
"1276" "GO:0001632" "F"
"1277" "GO:0001634" "F"
"1278" "GO:0001635" "F"
"1279" "GO:0001637" "F"
"1280" "GO:0001639" "F"
"1281" "GO:0001640" "F"
"1282" "GO:0001641" "F"
"1283" "GO:0001642" "F"
"1284" "GO:0001646" "F"
"1286" "GO:0001647" "F"
"1288" "GO:0001648" "F"
"1289" "GO:0001649" "P"
"1290" "GO:0001650" "C"
"1291" "GO:0001651" "C"
"1292" "GO:0001652" "C"
"1293" "GO:0001653" "F"
"1294" "GO:0001654" "P"
"1295" "GO:0001655" "P"
"1296" "GO:0001656" "P"
"1297" "GO:0001657" "P"
"1298" "GO:0001658" "P"
"1299" "GO:0001659" "P"
"1300" "GO:0001660" "P"
"1302" "GO:0001661" "P"
"1304" "GO:0001662" "P"
"1306" "GO:0001664" "F"
"1307" "GO:0001665" "F"
"1308" "GO:0001666" "P"
"1310" "GO:0001667" "P"
"1311" "GO:0001669" "C"
"1313" "GO:0001671" "F"
"1315" "GO:0001672" "P"
"1316" "GO:0001673" "C"
"1317" "GO:0001674" "C"
"1318" "GO:0001675" "P"
"1323" "GO:0001676" "P"
"1324" "GO:0001677" "P"
"1325" "GO:0001678" "P"
"1327" "GO:0001680" "P"
"1328" "GO:0001681" "F"
"1329" "GO:0001682" "P"
"1330" "GO:0001691" "F"
"1331" "GO:0001692" "P"
"1335" "GO:0001694" "P"
"1341" "GO:0001695" "P"
"1345" "GO:0001696" "P"
"1347" "GO:0001697" "P"
