LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G30210,AT1G23390,AT1G78870,AT1G09350,AT1G20840,AT1G20020
AT1G30360,AT1G23400,AT1G79640,AT1G09390,AT1G20920,AT1G20050
AT1G30380,AT1G23440,AT1G80030,AT1G09400,AT1G21210,AT1G20160
AT1G30410,AT1G23730,AT1G80110,AT1G09430,AT1G21240,AT1G20260
AT1G30440,AT1G23820,AT1G80310,AT1G09500,AT1G21410,AT1G20300
AT1G30630,AT1G23860,AT1G80340,AT1G09580,AT1G21540,AT1G20440
AT1G30810,AT1G24100,AT1G80690,AT1G09620,AT1G21550,AT1G20450
AT1G31230,AT1G24280,AT1G80920,AT1G09640,AT1G21680,AT1G20530
AT1G31330,AT1G24330,AT2G01170,AT1G09680,AT1G21730,AT1G20620
AT1G31350,AT1G24490,AT2G01450,AT1G09690,AT1G21750,AT1G20630
AT1G31480,AT1G24580,AT2G01910,AT1G09730,AT1G21780,AT1G20640
AT1G31540,AT1G24625,AT2G02100,AT1G09740,AT1G22160,AT1G20823
AT1G31770,AT1G25300,AT2G02160,AT1G09750,AT1G22270,AT1G20880
AT1G31800,AT1G25390,AT2G02580,AT1G09794,AT1G22370,AT1G21050
AT1G31850,AT1G26100,AT2G02710,AT1G09795,AT1G22410,AT1G21350
AT1G32090,AT1G26110,AT2G02760,AT1G09820,AT1G22450,AT1G21360
AT1G32420,AT1G26190,AT2G02870,AT1G09830,AT1G22480,AT1G21410
AT1G32470,AT1G26230,AT2G03220,AT1G09840,AT1G22530,AT1G21670
AT1G32530,AT1G26560,AT2G03410,AT1G09850,AT1G22540,AT1G21680
AT1G32550,AT1G26680,AT2G03730,AT1G09910,AT1G22570,AT1G21690
AT1G32710,AT1G27210,AT2G03930,AT1G09940,AT1G22700,AT1G21710
AT1G33090,AT1G27330,AT2G04900,AT1G09960,AT1G22730,AT1G21750
AT1G33110,AT1G27360,AT2G05070,AT1G09980,AT1G22850,AT1G21810
AT1G33250,AT1G27480,AT2G05100,AT1G10050,AT1G22930,AT1G22070
AT1G33265,AT1G27540,AT2G05330,AT1G10090,AT1G22985,AT1G22160
AT1G33340,AT1G27630,AT2G05940,AT1G10200,AT1G23037,AT1G22190
AT1G33470,AT1G27680,AT2G06050,AT1G10210,AT1G23180,AT1G22300
AT1G33530,AT1G27730,AT2G07050,AT1G10320,AT1G23280,AT1G22400
AT1G33970,AT1G27750,AT2G13290,AT1G10360,AT1G23310,AT1G22403
AT1G34140,AT1G27880,AT2G13790,AT1G10450,AT1G23740,AT1G22520
AT1G34150,AT1G27970,AT2G14100,AT1G10470,AT1G23780,AT1G22620
AT1G34190,AT1G28010,AT2G14255,AT1G10490,AT1G23820,AT1G22700
AT1G34210,AT1G28040,AT2G14878,AT1G10500,AT1G23870,AT1G22710
AT1G34220,AT1G28140,AT2G15620,AT1G10590,AT1G23900,AT1G22750
AT1G34260,AT1G28310,AT2G15695,AT1G10600,AT1G24040,AT1G22850
AT1G34290,AT1G28490,AT2G15790,AT1G10700,AT1G24050,AT1G23090
AT1G34340,AT1G28510,AT2G15970,AT1G10760,AT1G24070,AT1G23190
AT1G35670,AT1G28570,AT2G16390,AT1G10830,AT1G24190,AT1G23240
AT1G37130,AT1G28600,AT2G16485,AT1G10840,AT1G24220,AT1G23340
AT1G42560,AT1G29120,AT2G16890,AT1G10850,AT1G24265,AT1G23390
AT1G43620,AT1G29150,AT2G17120,AT1G10865,AT1G24340,AT1G23480
AT1G43670,AT1G29280,AT2G17340,AT1G10870,AT1G24350,AT1G23580
AT1G43910,AT1G29330,AT2G17975,AT1G10900,AT1G24420,AT1G23710
AT1G44350,AT1G29390,AT2G18090,AT1G10930,AT1G24510,AT1G23740
