SAMPLE2,SAMPLE6
YPR101W,YGL107C
YBR146W,YGR128C
YHR011W,YNR020C
YKL053W,YDL132W
YPL043W,YNR039C
YPR146C,YOR354C
YDL235C,YGR183C
YCL041C,YKR072C
YLR278C,YKL211C
YGL158W,YPR189W
YLR348C,YDL103C
YGR186W,YGL082W
YDL002C,YNR048W
YAL028W,YLL023C
YDR099W,YGR204W
YJL213W,YEL020W-A
YNL278W,YJR016C
YNL173C,YGL004C
YLR313C,YDR222W
YMR216C,YPR162C
YER039C-A,YKL165C
YLR196W,YPR129W
YMR306W,YDL091C
YBR085C-A,YJL154C
YDL059C,YKL164C
YOR329C,YDR074W
