ORF	Protein_abundance
YCL037C	8.43E+03
YHR003C	8.43E+03
YLR055C	8.43E+03
YBL071W-A	8.40E+03
YDL168W	8.37E+03
YER145C	8.37E+03
YDL166C	8.35E+03
YDR472W	8.35E+03
YHR121W	8.32E+03
YOR283W	8.30E+03
YJR131W	8.26E+03
YMR214W	8.26E+03
YKL154W	8.25E+03
YER080W	8.20E+03
YMR243C	8.20E+03
YDR054C	8.17E+03
YPL012W	8.17E+03
YHR066W	8.15E+03
YPL212C	8.13E+03
YER099C	8.12E+03
YGL019W	8.12E+03
YIR037W	8.12E+03
YOL098C	8.12E+03
YDR153C	8.10E+03
YLR399C	8.10E+03
YML110C	8.10E+03
YKR048C	8.07E+03
YLR222C	8.07E+03
YNL313C	8.07E+03
YDL092W	8.00E+03
YDR148C	7.97E+03
YPL184C	7.95E+03
YPL254W	7.95E+03
YJR042W	7.92E+03
YDR178W	7.92E+03
YJL033W	7.90E+03
YLR191W	7.90E+03
YBR030W	7.88E+03
YHR216W	7.87E+03
YPL246C	7.85E+03
YBR171W	7.82E+03
YER149C	7.82E+03
YHR197W	7.82E+03
YMR039C	7.82E+03
YNL317W	7.81E+03
YCR021C	7.80E+03
YER174C	7.80E+03
YDL128W	7.77E+03
YLL012W	7.77E+03
YNL163C	7.77E+03
YOR230W	7.75E+03
YPR169W	7.75E+03
YGL037C	7.72E+03
YIL041W	7.72E+03
YLR262C	7.72E+03
YMR076C	7.72E+03
YNL002C	7.72E+03
YPL030W	7.72E+03
YBR265W	7.70E+03
YDR322W	7.70E+03
YEL022W	7.70E+03
YHR137W	7.70E+03
YLR027C	7.70E+03
YLR028C	7.70E+03
YLR439W	7.70E+03
YOR281C	7.70E+03
YPL009C	7.70E+03
YER081W	7.67E+03
YMR230W	7.65E+03
YEL047C	7.62E+03
YGL082W	7.62E+03
YOR216C	7.62E+03
YDL040C	7.60E+03
YHR068W	7.60E+03
YOL135C	7.60E+03
YPL091W	7.60E+03
YFL016C	7.57E+03
YIR026C	7.57E+03
YOL115W	7.55E+03
YOR090C	7.55E+03
YDR434W	7.52E+03
YDR449C	7.52E+03
YLR095C	7.52E+03
YBR049C	7.51E+03
YLR114C	7.50E+03
YOL016C	7.50E+03
YNL153C	7.47E+03
YOR285W	7.47E+03
YOR317W	7.47E+03
YDR195W	7.45E+03
YBR115C	7.43E+03
YNL252C	7.43E+03
YPR180W	7.43E+03
YDL215C	7.40E+03
YGR031W	7.40E+03
YCR009C	7.39E+03
YOL027C	7.39E+03
YGR158C	7.38E+03
YHR010W	7.38E+03
YKL010C	7.38E+03
YOR132W	7.38E+03
YDR234W	7.35E+03
YDR342C	7.35E+03
YBL074C	7.33E+03
YBR111C	7.33E+03
YGL195W	7.33E+03
YJR048W	7.33E+03
YOL064C	7.33E+03
YBR256C	7.30E+03
YNL191W	7.30E+03
YER136W	7.28E+03
YLR285W	7.28E+03
YJL001W	7.25E+03
YKL114C	7.25E+03
YOR354C	7.25E+03
YJL125C	7.22E+03
YBL017C	7.21E+03
YKL065C	7.21E+03
YMR314W	7.21E+03
YLR212C	7.20E+03
YIL035C	7.18E+03
YDR373W	7.16E+03
YJR075W	7.16E+03
YOR039W	7.16E+03
YER006W	7.13E+03
YKL067W	7.13E+03
YDL111C	7.11E+03
YEL001C	7.11E+03
YGL054C	7.11E+03
YJL197W	7.11E+03
YML057W	7.11E+03
YMR259C	7.11E+03
YGR218W	7.08E+03
YOR241W	7.08E+03
YPL198W	7.08E+03
YBR052C	7.06E+03
YIL104C	7.06E+03
YLR438C-A	7.06E+03
YML092C	7.06E+03
YNL229C	7.06E+03
YOL052C	7.06E+03
YLR433C	7.04E+03
YDR116C	7.01E+03
YNL201C	7.01E+03
YGR123C	6.99E+03
YMR139W	6.99E+03
YDR087C	6.96E+03
YDR337W	6.96E+03
YER095W	6.96E+03
YJR096W	6.96E+03
YMR002W	6.96E+03
YMR020W	6.96E+03
YOR004W	6.96E+03
YGL068W	6.94E+03
YNL158W	6.94E+03
YOR323C	6.92E+03
YPL262W	6.92E+03
YGL167C	6.90E+03
YLR250W	6.90E+03
YPL153C	6.90E+03
YHL004W	6.89E+03
YJR060W	6.89E+03
YLR066W	6.84E+03
YML129C	6.84E+03
YKL016C	6.82E+03
YAL019W	6.80E+03
YGR241C	6.80E+03
YKL213C	6.80E+03
YDL123W	6.78E+03
YLR113W	6.78E+03
YFR010W	6.77E+03
YIL034C	6.77E+03
YGR243W	6.75E+03
YPR086W	6.75E+03
YBR015C	6.73E+03
YKR066C	6.73E+03
YOR150W	6.73E+03
YBR251W	6.68E+03
YHR055C	6.68E+03
YBR160W	6.67E+03
YOR272W	6.67E+03
YBR105C	6.65E+03
YDL029W	6.65E+03
YJR065C	6.65E+03
YLR363W-A	6.65E+03
YLR291C	6.65E+03
YDR330W	6.63E+03
YNL104C	6.63E+03
YPR139C	6.63E+03
YLL011W	6.62E+03
YNL131W	6.61E+03
YER063W	6.58E+03
YMR236W	6.58E+03
YNR027W	6.58E+03
YDR380W	6.56E+03
YPL082C	6.56E+03
YPL126W	6.56E+03
YPL127C	6.56E+03
YER154W	6.55E+03
YGR078C	6.55E+03
YMR277W	6.55E+03
YJL145W	6.54E+03
YML081C-A	6.54E+03
YMR152W	6.54E+03
YAL023C	6.51E+03
YDL212W	6.51E+03
YER090W	6.51E+03
YER143W	6.51E+03
YGL244W	6.51E+03
YOL111C	6.51E+03
YOR360C	6.51E+03
YGL112C	6.51E+03
YBR200W	6.49E+03
YHR006W	6.49E+03
YIL020C	6.49E+03
YIL136W	6.49E+03
YIR001C	6.49E+03
YLR312W-A	6.49E+03
YLR388W	6.49E+03
YLR412W	6.49E+03
YMR177W	6.49E+03
YOL054W	6.49E+03
YBL075C	6.44E+03
YBR287W	6.44E+03
YIL009W	6.44E+03
YJL055W	6.44E+03
YML071C	6.44E+03
YDL106C	6.42E+03
YDR127W	6.42E+03
YDR404C	6.42E+03
YJL139C	6.40E+03
YPL017C	6.40E+03
YPL128C	6.38E+03
YJL180C	6.37E+03
YLR170C	6.37E+03
YDR352W	6.35E+03
YGL044C	6.35E+03
YLR069C	6.35E+03
YLR286C	6.35E+03
YOR160W	6.34E+03
YDL235C	6.33E+03
YPL161C	6.33E+03
YBR169C	6.30E+03
YFR015C	6.30E+03
YGL110C	6.30E+03
YHR062C	6.30E+03
YPL125W	6.30E+03
YPL170W	6.30E+03
YPL243W	6.28E+03
YDR091C	6.28E+03
YDR245W	6.28E+03
YDR462W	6.28E+03
YGL150C	6.28E+03
YGL043W	6.26E+03
YPL059W	6.26E+03
YJL115W	6.23E+03
YLR179C	6.23E+03
YBL028C	6.21E+03
YOR224C	6.21E+03
YGR173W	6.20E+03
YPL178W	6.20E+03
YPR143W	6.20E+03
YDR531W	6.19E+03
YER134C	6.19E+03
YGR279C	6.19E+03
YML086C	6.19E+03
YMR027W	6.19E+03
YIL069C	6.16E+03
YNL154C	6.16E+03
YNR026C	6.16E+03
YPL031C	6.16E+03
YDR430C	6.14E+03
YJL166W	6.14E+03
YLR295C	6.14E+03
YMR251W-A	6.14E+03
YOR086C	6.14E+03
YBL093C	6.12E+03
YKL113C	6.12E+03
YOR069W	6.12E+03
YGR200C	6.09E+03
YLR363C	6.09E+03
YMR080C	6.09E+03
YPR187W	6.09E+03
YER156C	6.08E+03
YNL312W	6.08E+03
YDL202W	6.07E+03
YOL142W	6.05E+03
YDR391C	6.02E+03
YFL010C	6.02E+03
YGL145W	6.02E+03
YIL005W	6.02E+03
YOR116C	6.02E+03
YPL100W	6.02E+03
YGL221C	6.00E+03
YLR452C	5.98E+03
YER031C	5.96E+03
YFR040W	5.96E+03
YKR001C	5.96E+03
YKL183W	5.93E+03
YOR138C	5.93E+03
YBR080C	5.92E+03
YDR165W	5.91E+03
YIL118W	5.91E+03
YML062C	5.91E+03
YOL041C	5.91E+03
YJR073C	5.89E+03
YKL014C	5.89E+03
YOL060C	5.89E+03
YFL001W	5.86E+03
YKL160W	5.86E+03
YCR084C	5.84E+03
YPL190C	5.83E+03
YMR044W	5.82E+03
YER082C	5.80E+03
YHL021C	5.80E+03
YOL076W	5.80E+03
YPL227C	5.80E+03
YDR189W	5.78E+03
YLR398C	5.77E+03
YOR251C	5.77E+03
YLL018C-A	5.75E+03
YMR123W	5.75E+03
YFL002C	5.74E+03
YJR088C	5.74E+03
YHR089C	5.73E+03
YKL103C	5.73E+03
YKR016W	5.73E+03
YNL088W	5.73E+03
YNL197C	5.73E+03
YDL147W	5.71E+03
YFL008W	5.71E+03
YPR040W	5.71E+03
YEL013W	5.68E+03
YGR082W	5.68E+03
YGR229C	5.68E+03
YHR147C	5.68E+03
YOR095C	5.68E+03
YGL095C	5.66E+03
YDR267C	5.64E+03
YLR074C	5.63E+03
YDL134C	5.62E+03
YDL225W	5.62E+03
YLL010C	5.62E+03
YDR363W-A	5.59E+03
YHR001W-A	5.59E+03
YML085C	5.59E+03
YNL045W	5.59E+03
YMR031C	5.57E+03
YJR010C-A	5.55E+03
YJR086W	5.55E+03
YLR369W	5.55E+03
YNL232W	5.55E+03
YDL143W	5.53E+03
YIL057C	5.53E+03
YJL171C	5.53E+03
YML001W	5.53E+03
YNL044W	5.50E+03
YDL103C	5.48E+03
YER139C	5.48E+03
YGR040W	5.48E+03
YOR099W	5.48E+03
YDR487C	5.46E+03
